username,is_private,post_count,num_followers,num_followings
theengineersfm,False,26,19,14
mirhanealecian,True,-1,3,68
lesniyowilly,False,0,12,1079
be_joyfulofficial,False,38,217,363
the.financepage365,False,200,32,42
mbilals,True,-1,208,212
holabjorn,True,-1,32,208
realtyjefe,True,-1,1896,333
sussuaranaspeed,True,-1,0,757
jordan_andrew22,True,-1,527,970
pasqualefloccari,True,-1,143,101
_wen.ferr7,True,-1,501,1560
aptitude.io,False,0,636,380
taner_bugra_kaya,True,-1,43,66
aitrainingdev,False,38,164,1186
adamsarwar,True,-1,387,1587
brentbagshaw,True,-1,285,1211
jobtensor,False,14,58,600
adammvictordev,False,200,404,1851
tireesnorth,True,-1,149,1251
prashants.96,False,121,169,169
zedology,True,-1,119,505
firxworx,True,-1,374,2472
icedeckerz,True,-1,89,1561
jumaanjoe,True,-1,5,760
afoteyannum,False,200,7103,7276
thecgtrollagain,False,200,170,2419
ryanmoore,False,87,25606,379
visu_smart_official,False,6,90,25
rrrufio,True,-1,2102,2947
devjonds,False,0,21,163
isabelcastronet,False,28,16261,438
pensive.turtles,False,58,22,131
manu_pasta,False,200,1396,7475
skqr,True,-1,344,2416
lesyyazoryaana,False,0,2,3
bookbookw,True,-1,187,5441
techsweepstakes,False,200,87,801
chowzen_1,False,168,1235,672
reekinghav0k,True,-1,612,1617
khaledalwaleed,False,200,134416,1905
epicteam.ai,False,110,71,190
add12,False,200,1549,7488
jjwesker10,False,200,282,1167
paladin991973,True,-1,105,2633
atikul_islam9829,False,162,587,6515
darkprincekendall,False,0,0,0
john.gregorio90,True,-1,597,2253
nilo.river,False,189,636,3447
rossimage,False,200,1820,7502
gizmokraze.us,False,5,2,0
lakshyalark,False,21,115,119
brood.ai,False,200,54288,472
wauln,False,200,108,72
rodrigofdasneves,True,-1,926,1418
gregrenon,False,11,106,1125
usernamerobert_,False,46,845,3415
alberto.dsc,False,86,5841,5950
tsmholding,False,200,1410,3720
julerobb1,False,200,141,436
sillyasitsounds,True,-1,282,2549
the_nervous_mechanic,False,200,806,7501
jay_r2251,False,41,831,6674
brittanycity,False,112,3178,4375
annieaburke,False,200,5593,995
tha_guz,False,200,907,1876
ariannaintech,False,200,2599,3133
provantagesocial,False,10,9573,38
darius.andrey,True,-1,85,458
markus_wunsch,False,22,985,244
johnnyxz10,False,173,1784,1996
azhars.work,False,200,410,694
nuno_hipolito,True,-1,121,1038
thebusinessarchitect,False,200,1072,5360
aiinatom,True,-1,303,4294
hair.beststyle,False,200,13196,93
astroeconomist,False,200,950,3638
longbluesquid,False,200,3368,7152
thedoryk,True,-1,773,442
arzubarske,False,200,1424,756
ninjatech.ai,False,94,218,28
333lifestrategy_,False,200,351,1366
22marcelomedina,True,-1,152,582
bizzit.ai,False,33,113,487
seizethade,False,136,4411,2732
branmcnobre,False,200,1977,5706
andyro452,True,-1,354,1607
ethan_menzel,True,-1,356,1523
biit3tv,False,13,343,311
edge.case,False,59,503,7493
evandarkdj,False,200,732,7463
kearnsmatt,True,-1,49,2586
paoloat514,True,-1,62,563
serafindesigns,False,125,230,319
onestar.tripadvisor.review,False,27,1211,2291
hellocitycabs,True,-1,508,638
iam_nick,False,200,750,5837
innovatology,False,200,10231,236
ash.carr_,True,-1,107,783
deanbilal,True,-1,41,556
ozcol,True,-1,266,2673
wlrs_ocean,True,-1,108,1200
kireru_,False,138,4,507
khanittha8549,True,-1,471,100
marowee_2000,False,0,107,267
muh_sam_ali,True,-1,1,617
magnusjpierce,True,-1,286,339
0_monika_yadav1,False,1,6,197
jicky_ratha,True,-1,1,148
tylerdurdan10,False,200,671,1324
garciaclaud.io,True,-1,351,2259
zedsflare,True,-1,590,3505
michael_mmcd,True,-1,1624,1876
drewhytt,False,200,19003,3015
thejilesmccoy,False,200,142538,1704
dragchainreaction,False,48,637,203
billhtan,True,-1,117,1738
jmbinst007,True,-1,4,2803
socialmediaisfake21,True,-1,3,908
zaneleg3nd_,True,-1,600,2045
oldboone,False,200,3563,3730
irealshingyc,True,-1,467,760
tcrimson05t,False,200,475,731
ash_ketchum_bain,True,-1,69,1823
textcrash,True,-1,253,1761
cdkirven,True,-1,703,7421
deborahn.1974,False,200,301,134
quirkyzaj,True,-1,65,634
elijah.616x,True,-1,45,1401
crystalthegoodtroll,True,-1,11144,298
m0j0jojo1,False,119,366,3736
theboldrini,True,-1,758,2158
r_hybrid,True,-1,459,729
pej_vaki,True,-1,394,3939
a.x.bcd,False,3,3,25
june_yrn1,False,17,37,169
ariffinho,True,-1,267,788
mrtnhndl,True,-1,252,401
isthedeadline,True,-1,57,697
lejshi3,True,-1,60,1154
hsshahi,True,-1,63,143
lifeissmoothe,False,0,1789,1786
deee_eeeeeep,True,-1,53,2136
j_prspktv,False,33,639,1258
paxton.xu,True,-1,1259,7389
digitaldisciple_,False,200,645,921
stanthonyproductions,False,40,1226,1646
sixonedude,False,62,808,3816
ntsoni,False,200,734,724
somnomnom13,True,-1,933,2120
techmazter,False,11,40,898
_stanlism,False,2,21,239
vanessabogojel,False,60,5671,2635
electrumojo,True,-1,1095,2869
gatordigi,False,78,1295,256
agentwalker,False,200,654,1401
_coinfidential_,False,200,45,1975
maurobrandao.pt,False,1,234,7498
socialjediseries,False,200,3131,81
nsukrn,True,-1,273,2190
jaughnekow,False,68,150,2234
tj.kavinsky,True,-1,74,481
stefshere,True,-1,935,7516
caulmseh,True,-1,0,513
jasonlozano_,False,69,465,1987
barefooteddragonkick,False,0,9,469
vpnbolt7,False,65,359,280
adnorsir,False,6,56,417
one.__in__.billion,True,-1,253,2161
letmebesai,True,-1,375,1454
ilmujuragan,False,1,7,246
liztechnews,False,3,1,10
luxehouseplants,False,0,0,0
coditudehq,False,46,179,290
wolfed_out,True,-1,463,1023
213creativetech,False,168,116,319
heis_godfrey,False,0,65,138
technopassage22,True,-1,12,1361
micromacpty,False,200,1258,541
lisentech,False,25,270,125
danish_pradhana,True,-1,73,159
ai.robots.business,True,-1,0,187
jonty.pants,False,14,162,602
theempirestrikesback,True,-1,1414,2136
moyshiro83,True,-1,406,676
robzombie79,True,-1,40,290
rohitandley,False,0,111,331
tristan.jorge,False,64,1263,1251
mikeward1701,False,200,2202,857
paulywoggsvoice,False,200,794,3336
n__i__c__k0,True,-1,500,375
aman_9,True,-1,128,309
johnnydub1974,True,-1,117,54
andyspaceman,True,-1,762,4117
_difiasco,False,200,185,1804
instamikeyy,True,-1,74,2488
ovi_wan_kenobi,True,-1,278,553
cintra_ann,True,-1,207,638
ifowzy,True,-1,89,2703
owlandtwine,False,200,483,6830
usergarav,False,0,1,97
___mr_rossi,False,0,0,61
shell.chris,False,200,1223,770
akkinasrikar,True,-1,35,175
thegadgetsgirl,False,166,5239,130
respectwamanatt,True,-1,663,1921
blockchain_project,False,200,50700,104
hoonigandad,False,200,518,1711
realdjroberto,True,-1,53,743
iosuptodate,False,200,17419,385
cavtena,False,9,65,476
majidmasih1992,False,121,857,2856
iferds74,False,200,138,921
fatahiniafardad,True,-1,13,218
agam0tto_,True,-1,130,364
thatsonginmyhead,True,-1,930,3719
lukecloudfoot,False,200,220,334
deepenwadhwa,True,-1,391,1623
exception_null,False,200,1180,2565
cognitivecybersecurity,False,200,73057,122
niranjanks91,True,-1,266,851
systemworkbackup,False,0,5,36
luiginumba1,True,-1,462,859
gnanaprakash_2918,True,-1,240,2398
soysa007,True,-1,69,533
gatocomelonmeowmeow,False,82,289,791
egemen.ertem,False,0,415,693
the_ios_magic,False,81,82,91
0btuseprocessor,True,-1,256,839
tophert1,True,-1,177,4509
carlos_n_pancake,True,-1,113,5958
abubakr1_mohamed,True,-1,32,65
everbloom,False,25,39549,6918
erin_skm,True,-1,950,784
asnyder0328,False,7,18,64
sted1000,False,102,851,663
jusbnfrankwitu,False,29,1564,2053
loughrey101,False,8,427,1079
chiefjuan559,True,-1,2,362
kiwami,False,200,3121,2301
joeromano95,True,-1,48,825
trakbondtrak,False,114,250,56
bubacicek,True,-1,107,445
1brazuca,False,200,1996,834
aaronaarmijo,False,200,738,915
aostipr,False,5,21,193
cesar_varela_gutierrez,False,2,439,1436
oscar_yshy,True,-1,132,1741
pseddon.xvi,False,200,189,604
nikola_filip0vic,False,93,556,2541
hashim.alsughayer,True,-1,85,2307
labrinoudis_stef,True,-1,18,316
applestyle,False,200,298361,76
herr_cm,False,200,774,365
neel21_,True,-1,509,1189
nothatminimal,False,200,45707,783
prajwal.photos,False,200,9800,879
toddioniqfosix,False,34,147,461
abohtheel,True,-1,219,472
kp2066,True,-1,436,1387
leelanzini,False,200,3848,1046
virtualxploreronline,False,200,15258,111
yvesclv,True,-1,246,666
zartehify,True,-1,44,331
mageshsridhar,False,200,472,2179
r_sharma5,True,-1,0,3179
dollarn9ne,True,-1,509,60
appledsign,False,200,4215613,390
a_naqi89,True,-1,421,417
jamen1995,True,-1,144,542
timmydancervegan20,False,200,543,3817
nordicwanderlusts,False,33,189,160
zentrrmusic,False,200,36162,1471
jason_black_lock,True,-1,2963,103
foxll77i,True,-1,6,926
perfildoeddie,False,0,5675,2414
oussamaaa_bahrouunn,True,-1,12,491
wiamphone1,False,2,3,25
bosco_bothelo,True,-1,333,486
sam_the_chad,False,27,50,109
supra2jzgte,True,-1,61,150
gt_fm,False,200,102,177
kindofanmol,True,-1,824,589
krosskinetic,False,14,319,464
frankthe1tank,True,-1,334,961
eph_edits,False,97,312,912
dom.cr3,False,0,332,223
dgstng,False,48,456,2637
kahanseth90,True,-1,584,1673
spoutwater,False,93,8303,69
troythrill1,True,-1,2,48
nas0ne,False,8,663,712
nourishcw,True,-1,372,389
name_not_von,False,6,152,524
meembom,False,200,111739,20
aerospace_356,True,-1,1,160
zoostzoo,False,200,1258,455
varkeyjoshy,False,22,524,1761
ericmci,True,-1,155,395
thehopelessgeek,False,68,20263,33
nvmbr9th,False,34,302,977
chandichatterpaul,False,106,36,195
ammarmalik,False,86,183,266
newgalaxys24,False,56,52,32
superscientific,False,200,373745,681
steven_tileman,False,0,162,1072
aqara.smarthome.official,False,200,18009,269
oniwura,False,24,481,514
mellopowerofficial,False,54,14956,49
bigbeaubrown,False,200,518762,1143
diego._vanderdys,True,-1,150,242
abhishekksharmaa,False,25,515,333
rob.gpt,False,77,94281,725
nyiti.photo,False,35,548,770
atulyatejapadival,False,9,701,1392
elias.sliman,True,-1,258,608
kingdom_myles,False,200,803,1315
miday_i,False,145,61417,2557
m1s1cler,False,56,1134,91
outoftheboxyt,False,200,61319,269
quentography4,False,66,138,348
zachdnichols,False,34,344,107
emperor_skittles,True,-1,25,160
benjamin22044,False,67,14,32
anthony.chopra,False,56,3174,304
tommypdavies,False,200,130,233
mr.lost.music,False,40,5164,432
mkh3n,True,-1,126,351
woflx.rx,False,11,78,624
technutso_,False,200,224,368
funnyapewithcollar,False,200,639,1025
vermincide,True,-1,828,3504
edualara,True,-1,85,326
supersaf,False,200,593592,822
yokoshh,True,-1,15,18
technokutungwaa,False,104,382,532
allmightsgone,False,4,353,165
lcynote,False,63,19245,106
samsungmobile,False,200,1629800,101
ekotechapps,False,128,422,422
nottodolist,False,200,481122,43
djmeechymeech,False,200,1038803,569
dylanguerrero,True,-1,282,303
kernwei,False,200,3281,2131
tayllorlloyd,False,200,87551,794
waltzinthestreet,False,200,127917,299
savetimeai,False,0,2,73
martin_j_hammer,True,-1,332,2526
ashishsinghxyz,False,44,304,3510
alan.singh,False,0,385,302
sonny_wiessing,True,-1,343,151
sajamblues,False,0,0,0
danielfgom,False,9,39,92
_mohit_t26,False,4,699,529
zzehra.ai,False,0,167,43
airappsco,False,200,3472,86
windowsinsider,False,200,90805,93
antonella.swe,False,200,75140,805
viet_lekhanh,True,-1,112,1914
tech_tortoise,False,18,34,130
koddosnet,False,126,11441,1696
moderntechicalsolutions,False,6,16,7
rarenet88,True,-1,114,650
ev.codes,False,86,10541,399
newbie.ia,False,57,65,117
seaforestlullaby,True,-1,1,4455
faileverydamday,False,47,1328,788
ainterestingupdate,False,200,145657,47
hchigoziedonatus,False,26,132,1100
earllouie,True,-1,708,1939
aicopilot,False,63,96,70
ainexusmatrix,False,17,38,41
techbible.ai,False,200,152853,2656
ai.spotlight,False,200,3162,54
jleostrange,True,-1,0,18
codeoxer,False,2,59,323
ai_with_genxi,False,200,9625,75
gaurav_daryanani,False,38,238,31
houseavenuepr,False,0,89,10
taditdash,False,200,1013,124
rakk206_,False,0,1,80
radinafzar_tech,False,135,7533,42
python.hub,False,200,1650625,95
python.science,False,200,324472,7
abodk7aled,True,-1,404,192
viktorhonchar,False,9,322,758
